查询所有生产订单信息	SELECT * FROM kn_quality_trace_prod_order;
查询生产订单工序的执行人员	SELECT A.workorderno_s, A.routeoperaname_s, B.username, B.userno FROM kn_quality_trace_prod_order_process B LEFT JOIN kn_quality_trace_prod_order A ON A.workorderno_s = B.orderno;
查找故障批次涉及的所有物料	SELECT projectname_s, partno_s, partname_s, railwayno, partno, partname FROM kn_quality_trace_bom_data_fault WHERE railwayno IS NOT NULL;
查看生产订单和自互检的时间对比	SELECT A.workorderno_s, A.planstarttime_t, A.actualstarttime_t, B.checkstartdatetime_t, B.checkenddatetime_t FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s;
查询按供应商统计的物料质量情况	SELECT A.supplier_name, COUNT(*) as total_materials, SUM(A.defect_quantity) as total_defects FROM kn_quality_trace_bom_data A GROUP BY A.supplier_name;
查找生产订单中的关键工序检验	SELECT A.workorderno_s, A.routeoperaname_s, B.checkstate, B.checktime FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_route B ON A.workorderno_s = B.orderno WHERE B.checkstate = '关键工序';
查看设备异常对生产订单的影响	SELECT B.device_name, B.reason, COUNT(A.workorderno_s) as affected_orders FROM kn_quality_trace_prod_order A INNER JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id GROUP BY B.device_name, B.reason;
查询生产订单的完工检验情况	SELECT A.workorderno_s, A.serialname_s, B.testtype_s, B.testsortupcheck_s, B.creator_s FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s WHERE B.testtype_s = '完工检';
查找物料采购订单和检验报告的关联	SELECT A.material_number, A.ebeln, B.report_no, B.result, B.sup_result FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_supplier B ON A.ebeln = B.order_no AND A.material_number = B.material_code;
查看生产订单按状态的工期统计	SELECT orderstate_s, AVG(DATEDIFF(actualendtime_t, actualstarttime_t)) as avg_duration FROM kn_quality_trace_prod_order WHERE actualstarttime_t IS NOT NULL AND actualendtime_t IS NOT NULL GROUP BY orderstate_s;
查询特定工位的设备配置和异常情况	SELECT A.locationnumber_s, A.wcname_s, A.mainrescode_s, B.reason, B.exception_time FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id;
查看BOM数据的批次追溯信息	SELECT A.material_number, A.batch, B.railwayno, B.zs_figureno_s FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_fault B ON A.order_number = B.workorderno_s AND A.material_number = B.partno_s;
查询供应商检验报告的版本管理	SELECT sup_company_name, material_name, data_version, item_data_version, file_data_version FROM kn_quality_trace_bom_data_supplier WHERE data_version > 1;
查找生产订单中的返工情况	SELECT A.workorderno_s, A.orderstate_s, B.testcount_s, B.testsortupcheck_s FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s WHERE B.testcount_s > 1;
查看物料库存状态分析	SELECT material_description, unrestricted_stock, frozen_stock, in_inspection_stock, (unrestricted_stock + frozen_stock + in_inspection_stock) as total_stock FROM kn_quality_trace_bom_data;
查询生产订单的工艺路线覆盖情况	SELECT routeno_s, COUNT(*) as order_count, COUNT(DISTINCT partno_s) as material_types FROM kn_quality_trace_prod_order GROUP BY routeno_s;
查找设备异常的责任人分布	SELECT person, type, COUNT(*) as exception_count FROM kn_quality_equipment_exception_data GROUP BY person, type;
查看生产订单和过程检验的时间节点	SELECT A.workorderno_s, A.planstarttime_t, A.actualstarttime_t, B.starttime, B.endtime FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_process B ON A.workorderno_s = B.orderno;
查询BOM数据中的虚拟件情况	SELECT material_number, material_description, phantom_indicator, procurement_type FROM kn_quality_trace_bom_data WHERE phantom_indicator = 'X';
查找生产订单的报工完成率	SELECT prolinename_s, (COUNT(CASE WHEN isjobworking_s = '已报工' THEN 1 END) / COUNT(*)) * 100 as completion_rate FROM kn_quality_trace_prod_order GROUP BY prolinename_s;
查看供应商检验报告的复核差异	SELECT material_code, item_name, measure_value, review_value, ABS(CAST(measure_value AS DECIMAL) - CAST(review_value AS DECIMAL)) as difference FROM kn_quality_trace_bom_data_supplier WHERE measure_value IS NOT NULL AND review_value IS NOT NULL;
查询生产订单中的配送状态统计	SELECT comment2_s as delivery_status, COUNT(*) as count FROM kn_quality_trace_prod_order GROUP BY comment2_s;
查找物料的图纸版本一致性检查	SELECT material_number, material_description, order_drawing_version, current_drawing_version FROM kn_quality_trace_bom_data WHERE order_drawing_version != current_drawing_version;
查看生产订单的设备利用率	SELECT A.mainrescode_s, COUNT(A.workorderno_s) as usage_count, COUNT(B.device_id) as exception_count FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id GROUP BY A.mainrescode_s;
查询按项目统计的质检通过率	SELECT A.projectname_s, COUNT(B.testsortupcheck_s) as total_checks, SUM(CASE WHEN B.testsortupcheck_s = '合格' THEN 1 ELSE 0 END) as passed_checks FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s GROUP BY A.projectname_s;
查找供应商检验中的让步接收情况	SELECT sup_company_name, material_name, sup_result, concess_no FROM kn_quality_trace_bom_data_supplier WHERE sup_result = '3' AND concess_no IS NOT NULL;
查看生产订单的工序质检完整性	SELECT A.workorderno_s, COUNT(DISTINCT A.routeoperanumber_s) as total_operations, COUNT(DISTINCT B.routeoperanumber_s) as checked_operations FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s GROUP BY A.workorderno_s;
查询物料检验的及时性分析	SELECT material_description, DATEDIFF(inspection_end_date, inspection_start_date) as inspection_days FROM kn_quality_trace_bom_data WHERE inspection_start_date IS NOT NULL AND inspection_end_date IS NOT NULL;
查看设备异常的时间分布模式	SELECT HOUR(exception_time) as hour, COUNT(*) as exception_count FROM kn_quality_equipment_exception_data GROUP BY HOUR(exception_time) ORDER BY hour;
查询BOM数据的批次质量追溯	SELECT A.batch, A.material_description, A.supplier_name, B.projectname_s, B.railwayno FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_fault B ON A.order_number = B.workorderno_s WHERE A.defect_quantity > 0;
查询主要的故障模式	SELECT defect_name, COUNT(*) AS cnt FROM kn_quality_trace_history_fault_corrective WHERE del_flag = '0' GROUP BY defect_name ORDER BY cnt DESC LIMIT 10;
查询玻璃钢罩板表面缺陷的原因是什么	SELECT material_name, defect_name, cause_analysis FROM kn_quality_trace_history_fault_corrective WHERE material_name LIKE '%玻璃钢罩板%' AND defect_name LIKE '%表面缺陷%' LIMIT 1;
